fiscal_year,district,local_admin_org,waste_amount,unit
2564,บางเลน,อบต.นิลเพชร,112.0,ตันต่อปี
2564,บางเลน,อบต.บัวปากท่า,0.0,ตันต่อปี
2564,บางเลน,อบต.บางไทรป่า,10.0,ตันต่อปี
2564,บางเลน,อบต.บางปลา,6.2,ตันต่อปี
2564,บางเลน,อบต.บางภาษี,19.0,ตันต่อปี
2564,บางเลน,อบต.บางระกำ,12.0,ตันต่อปี
2564,บางเลน,อบต.บางเลน,1.45,ตันต่อปี
2564,บางเลน,อบต.บางหลวง,12.1,ตันต่อปี
2564,บางเลน,อบต.ไผ่หูช้าง,14.0,ตันต่อปี
2564,บางเลน,อบต.ลำพญา,16.0,ตันต่อปี
2564,บางเลน,อบต.หินมูล,43.0,ตันต่อปี
2564,สามพราน,เทศบาลเมืองกระทุ่มล้ม,492.0,ตันต่อปี
2564,สามพราน,เทศบาลเมืองไร่ขิง,283.7,ตันต่อปี
2564,สามพราน,เทศบาลเมืองสามพราน,297.0,ตันต่อปี
2564,สามพราน,เทศบาลตำบลบางกระทึก,31.0,ตันต่อปี
2564,สามพราน,เทศบาลตำบลอ้อมใหญ่,135.6,ตันต่อปี
2564,สามพราน,อบต.คลองจินดา,0.0,ตันต่อปี
2564,สามพราน,อบต.คลองใหม่,35.0,ตันต่อปี
2564,สามพราน,อบต.ตลาดจินดา,152.0,ตันต่อปี
2564,สามพราน,อบต.ทรงคนอง,93.4,ตันต่อปี
2564,สามพราน,อบต.ท่าข้าม,20.0,ตันต่อปี
2564,สามพราน,อบต.ท่าตลาด,130.0,ตันต่อปี
2564,สามพราน,อบต.บางช้าง,62.0,ตันต่อปี
2564,สามพราน,อบต.บางเตย,115.0,ตันต่อปี
2564,สามพราน,อบต.บ้านใหม่,5.0,ตันต่อปี
2564,สามพราน,อบต.ยายชา,21.0,ตันต่อปี
2564,สามพราน,อบต.สามพราน,61.0,ตันต่อปี
2564,สามพราน,อบต.หอมเกร็ด,50.3,ตันต่อปี
2564,พุทธมณฑล,เทศบาลตำบลคลองโยง,74.06,ตันต่อปี
2564,พุทธมณฑล,เทศบาลตำบลศาลายา,20.0,ตันต่อปี
2564,พุทธมณฑล,อบต.มหาสวัสดิ์,150.0,ตันต่อปี
2564,พุทธมณฑล,อบต.ศาลายา,15.0,ตันต่อปี
2565,เมือง,เทศบาลนครนครปฐม,7.0,ตันต่อปี
2565,เมือง,เทศบาลเมืองนครปฐม,200.0,ตันต่อปี
2565,เมือง,เทศบาลตำบลดอนยายหอม,47.0,ตันต่อปี
2565,เมือง,เทศบาลตำบลธรรมศาลา,35.0,ตันต่อปี
2565,เมือง,เทศบาลตำบลบ่อพลับ,10.0,ตันต่อปี
2565,เมือง,เทศบาลตำบลโพรงมะเดื่อ,30.0,ตันต่อปี
2565,เมือง,เทศบาลตำบลมาบแค,0.0,ตันต่อปี
2565,เมือง,เทศบาลเมืองสามควายเผือก,227.0,ตันต่อปี
2565,เมือง,ทต.ตาก้อง,5.0,ตันต่อปี
2565,เมือง,อบต.ถนนขาด,35.0,ตันต่อปี
2565,เมือง,อบต.ทัพหลวง,2.0,ตันต่อปี
2565,เมือง,อบต.ทุ่งน้อย,5.0,ตันต่อปี
2565,เมือง,อบต.ธรรมศาลา,5.0,ตันต่อปี
2565,เมือง,อบต.บางแขม,10.0,ตันต่อปี
2565,เมือง,อบต.บ้านยาง,50.0,ตันต่อปี
2565,เมือง,อบต.พระประโทน,3.0,ตันต่อปี
2565,เมือง,อบต.โพรงมะเดื่อ,11.0,ตันต่อปี
2565,เมือง,อบต.ลำพยา,12.0,ตันต่อปี
2565,เมือง,อบต.วังตะกู,108.0,ตันต่อปี
2565,เมือง,อบต.วังเย็น,5.0,ตันต่อปี
2565,เมือง,อบต.สนามจันทร์,23.0,ตันต่อปี
2565,เมือง,อบต.สระกระเทียม,7.0,ตันต่อปี
2565,เมือง,อบต.สวนป่าน,50.0,ตันต่อปี
2565,เมือง,อบต.ดอนยายหอม,60.0,ตันต่อปี
2565,เมือง,อบต.หนองงูเหลือม,2.0,ตันต่อปี
2565,เมือง,อบต.หนองดินแดง,58.0,ตันต่อปี
2565,เมือง,อบต.หนองปากโลง,10.0,ตันต่อปี
2565,เมือง,อบต.ห้วยจรเข้,30.0,ตันต่อปี
2565,กำแพงแสน,เทศบาลตำบลกำแพงแสน,80.0,ตันต่อปี
2565,กำแพงแสน,อบต.กระตีบ,62.0,ตันต่อปี
2565,กำแพงแสน,อบต.กำแพงแสน,102.0,ตันต่อปี
2565,กำแพงแสน,อบต.ดอนข่อย,51.0,ตันต่อปี
2565,กำแพงแสน,อบต.ทุ่งกระพังโหม,100.0,ตันต่อปี
2565,กำแพงแสน,อบต.ทุ่งขวาง,65.0,ตันต่อปี
2565,กำแพงแสน,อบต.ทุ่งบัว,50.0,ตันต่อปี
2565,กำแพงแสน,อบต.ทุ่งลูกนก,60.0,ตันต่อปี
2565,กำแพงแสน,อบต.รางพิกุล,30.0,ตันต่อปี
