fiscal_year,district,local_admin_org,waste_amount,unit
2564,นครชัยศรี,องค์การบริหารส่วนตำบลศรีมหาโพธิ์,0.0,ตันต่อปี
2564,นครชัยศรี,องค์การบริหารส่วนตำบลโคกพระเจดีย์,0.0,ตันต่อปี
2564,นครชัยศรี,องค์การบริหารส่วนตำบลสัมปทวน,0.0,ตันต่อปี
2564,นครชัยศรี,องค์การบริหารส่วนตำบลห้วยพลู,60.0,ตันต่อปี
2564,นครชัยศรี,องค์การบริหารส่วนตำบลแหลมบัว,0.0,ตันต่อปี
2564,ดอนตูม,เทศบาลตำบลสามง่าม,23.5,ตันต่อปี
2564,ดอนตูม,องค์การบริหารส่วนตำบลดอนพุทรา,10.0,ตันต่อปี
2564,ดอนตูม,องค์การบริหารส่วนตำบลดอนรวก,0.0,ตันต่อปี
2564,ดอนตูม,องค์การบริหารส่วนตำบลบ้านหลวง,20.0,ตันต่อปี
2564,ดอนตูม,องค์การบริหารส่วนตำบลลำเหย,6.0,ตันต่อปี
2564,ดอนตูม,องค์การบริหารส่วนตำบลห้วยด้วน,0.0,ตันต่อปี
2564,ดอนตูม,องค์การบริหารส่วนตำบลห้วยพระ,15.0,ตันต่อปี
2564,บางเลน,เทศบาลตำบลบางเลน,346.0,ตันต่อปี
2564,บางเลน,เทศบาลตำบลบางหลวง,10.0,ตันต่อปี
2564,บางเลน,เทศบาลตำบลรางกระทุ่ม,68.0,ตันต่อปี
2564,บางเลน,เทศบาลตำบลลำพญา,38.0,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลคลองนกกระทุง,22.5,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลดอนตูม,7.0,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลไทรงาม,98.0,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลนราภิรมย์,69.8,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลนิลเพชร,112.0,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลบัวปากท่า,0.0,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลบางไทรป่า,10.0,ตันต่อปี
2564,บางเลน,องค์การบริหารส่วนตำบลบางปลา,6.2,ตันต่อปี
